Provinces,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
Newfoundland and Labrador,"53,500","53,400","51,300","50,300","52,400","50,900","49,800","49,100","51,000","50,900","49,200","50,700","52,400","53,100","51,800","55,300","57,100","59,800","62,100","62,700","63,300","64,800",
Prince Edward Island,"56,300","56,600","55,500","53,400","56,100","54,500","55,500","53,400","53,600","53,900","54,100","56,000","57,800","60,000","60,400","60,300","62,900","62,600","64,000","64,900","66,100","70,900",
Nova Scotia,"58,500","55,800","58,100","57,000","54,800","56,300","54,100","53,500","57,200","58,400","57,700","59,600","60,900","59,400","59,900","61,200","64,900","64,500","64,100","64,200","64,900","66,300",
New Brunswick,"56,400","53,400","54,400","55,800","53,500","53,100","54,200","53,500","56,200","57,500","56,400","56,500","56,700","55,200","55,800","56,700","58,800","60,100","59,900","61,500","63,400","63,400",
Quebec,"67,900","65,100","65,400","62,600","64,000","62,300","63,500","62,300","65,200","65,300","66,200","65,500","65,500","65,400","64,700","67,200","68,100","68,900","69,600","70,600","72,500","70,900",
Ontario,"81,400","78,100","77,000","75,600","76,000","76,400","76,700","75,700","76,500","79,000","80,200","80,000","82,300","81,200","80,700","80,700","81,000","82,200","82,700","80,300","81,900","82,200",
Manitoba,"64,900","59,200","61,300","58,500","61,500","61,900","61,000","60,800","63,700","62,100","62,600","64,000","63,500","64,100","64,300","66,200","67,500","69,900","74,700","74,500","74,300","71,800",
Saskatchewan,"56,700","56,800","54,800","55,100","55,600","57,000","56,800","57,400","57,400","60,900","57,300","61,700","62,000","61,300","62,100","62,300","66,500","69,600","73,800","76,800","77,000","80,400",
Alberta,"75,100","73,000","69,400","73,100","69,800","67,800","68,400","73,300","75,300","74,200","74,500","80,200","78,700","77,600","82,100","85,400","87,900","90,100","94,600","93,400","91,200","92,600",
British Columbia,"73,300","68,800","70,500","68,900","70,000","68,400","69,700","69,300","70,500","70,500","66,700","67,200","67,700","70,000","69,300","71,600","74,600","74,900","79,500","77,700","72,800","73,600",